Phosphate;Temperature;GrowthRate
20;40;-2.441215845
19;40;-2.445014949
18;40;-2.449233936
17;40;-2.453946488
16;40;-2.459244595
15;40;-2.465244624
14;40;-2.472095962
13;40;-2.479993626
12;40;-2.489197121
11;40;-2.5000595
10;40;-2.513073698
9;40;-2.528949418
8;40;-2.548747004
7;40;-2.57412452
6;40;-2.607827991
5;40;-2.654758885
4;40;-2.724605254
3;40;-2.839572018
2;40;-3.06423989
1;40;-3.698885633
20;39;-1.769542439
19;39;-1.773106018
18;39;-1.777063449
17;39;-1.781483845
16;39;-1.786453496
15;39;-1.792081554
14;39;-1.798508143
13;39;-1.805916192
12;39;-1.814549115
11;39;-1.824738082
10;39;-1.836945465
9;39;-1.851836969
8;39;-1.870407204
7;39;-1.89421144
6;39;-1.925825465
5;39;-1.969846878
4;39;-2.035363122
3;39;-2.14320252
2;39;-2.353942108
1;39;-2.949242988
20;38;-1.197225408
19;38;-1.200568062
18;38;-1.204280152
17;38;-1.208426507
16;38;-1.213088064
15;38;-1.21836721
14;38;-1.224395383
13;38;-1.231344169
12;38;-1.239441895
11;38;-1.248999197
10;38;-1.260449783
9;38;-1.274418088
8;38;-1.291837062
7;38;-1.314165554
6;38;-1.343819668
5;38;-1.385111973
4;38;-1.446566537
3;38;-1.547720432
2;38;-1.745395219
1;38;-2.303790421
20;37;-0.712456315
19;37;-0.715591741
18;37;-0.7190737
17;37;-0.722963002
16;37;-0.727335566
15;37;-0.732287431
14;37;-0.737941888
13;37;-0.744459884
12;37;-0.752055591
11;37;-0.761020388
10;37;-0.771761095
9;37;-0.784863435
8;37;-0.801202519
7;37;-0.822146757
6;37;-0.849962463
5;37;-0.888694852
4;37;-0.946339541
3;37;-1.0412224
2;37;-1.226642339
1;37;-1.750419829
20;36;-0.304711657
19;36;-0.307652703
18;36;-0.310918798
17;36;-0.314566982
16;36;-0.318668469
15;36;-0.323313343
14;36;-0.328617252
13;36;-0.334731165
12;36;-0.341855976
11;36;-0.350265
10;36;-0.360339837
9;36;-0.372629897
8;36;-0.38795604
7;36;-0.40760184
6;36;-0.433693112
5;36;-0.470024286
4;36;-0.524095292
3;36;-0.613095888
2;36;-0.787020718
1;36;-1.278326623
20;35;0.035380907
19;35;0.032622192
18;35;0.029558578
17;35;0.026136563
16;35;0.022289348
15;35;0.017932433
14;35;0.01295734
13;35;0.007222459
12;35;0.00053935
11;35;-0.007348356
10;35;-0.016798604
9;35;-0.028326742
8;35;-0.042702741
7;35;-0.061130599
6;35;-0.085604342
5;35;-0.119683166
4;35;-0.17040204
3;35;-0.253885044
2;35;-0.417027403
1;35;-0.877874798
20;34;0.316162737
19;34;0.313575048
18;34;0.310701363
17;34;0.307491496
16;34;0.303882789
15;34;0.29979598
14;34;0.295129318
13;34;0.289749971
12;34;0.283481182
11;34;0.276082474
10;34;0.267218095
9;34;0.256404643
8;34;0.242919885
7;34;0.225634462
6;34;0.202677968
5;34;0.170711861
4;34;0.123137304
3;34;0.044829828
2;34;-0.10819852
1;34;-0.540475681
20;33;0.545052163
19;33;0.542624898
18;33;0.539929367
17;33;0.536918496
16;33;0.533533511
15;33;0.529700064
14;33;0.525322712
13;33;0.520276857
12;33;0.514396702
11;33;0.507456676
10;33;0.499141844
9;33;0.488998773
8;33;0.476350002
7;33;0.460136189
6;33;0.438602883
5;33;0.408618515
4;33;0.363993342
3;33;0.290540539
2;33;0.146999183
1;33;-0.258478955
20;32;0.728641441
19;32;0.726364654
18;32;0.723836232
17;32;0.72101202
16;32;0.717836887
15;32;0.714241095
14;32;0.710135116
13;32;0.70540208
12;32;0.699886464
11;32;0.693376686
10;32;0.685577332
9;32;0.67606308
8;32;0.66419847
7;32;0.648989832
6;32;0.628791483
5;32;0.600665996
4;32;0.558807361
3;32;0.489908264
2;32;0.355265755
1;32;-0.025074766
20;31;0.872783796
19;31;0.870648158
18;31;0.868276486
17;31;0.865627361
16;31;0.86264907
15;31;0.859276199
14;31;0.855424771
13;31;0.850985159
12;31;0.845811484
11;31;0.839705279
10;31;0.832389446
9;31;0.823465031
8;31;0.812335967
7;31;0.798070188
6;31;0.779124036
5;31;0.752742189
4;31;0.71347858
3;31;0.648850883
2;31;0.522555535
1;31;0.165794226
20;30;0.982671577
19;30;0.980668338
18;30;0.978443698
17;30;0.975958805
16;30;0.973165154
15;30;0.970001384
14;30;0.966388725
13;30;0.962224347
12;30;0.957371414
11;30;0.951643763
10;30;0.944781475
9;30;0.936410329
8;30;0.925971211
7;30;0.91258984
6;30;0.894818254
5;30;0.870071949
4;30;0.833242488
3;30;0.772621385
2;30;0.654155718
1;30;0.319511825
20;29;1.062906391
19;29;1.061027343
18;29;1.05894062
17;29;1.056609778
16;29;1.053989319
15;29;1.051021687
14;29;1.047632995
13;29;1.043726787
12;29;1.039174712
11;29;1.033802147
10;29;1.027365286
9;29;1.019513109
8;29;1.009721165
7;29;0.997169371
6;29;0.980499536
5;29;0.957287378
4;29;0.922741159
3;29;0.865878261
2;29;0.754756873
1;29;0.440859229
20;28;1.117562041
19;28;1.115799485
18;28;1.113842128
17;28;1.111655787
16;28;1.109197783
15;28;1.106414129
14;28;1.103235519
13;28;1.099571477
12;28;1.095301607
11;28;1.090262115
10;28;1.084224307
9;28;1.076858926
8;28;1.067674033
7;28;1.055900388
6;28;1.040263999
5;28;1.018490879
4;28;0.986086353
3;28;0.93274867
2;28;0.828516253
1;28;0.534078693
20;27;1.150240982
19;27;1.148587695
18;27;1.146751684
17;27;1.144700885
16;27;1.142395265
15;27;1.139784184
14;27;1.136802632
13;27;1.133365742
12;27;1.129360583
11;27;1.124633514
10;27;1.118970021
9;27;1.112061256
8;27;1.103445781
7;27;1.092402043
6;27;1.077735031
5;27;1.057311736
4;27;1.026916129
3;27;0.976885116
2;27;0.879114587
1;27;0.602930684
20;26;1.164124955
19;26;1.162574164
18;26;1.160851976
17;26;1.158928317
16;26;1.156765634
15;26;1.154316427
14;26;1.151519716
13;26;1.148295896
12;26;1.144539037
11;26;1.140105022
10;26;1.134792637
9;26;1.128312181
8;26;1.120230822
7;26;1.109871741
6;26;1.096114011
5;26;1.076956858
4;26;1.048445626
3;26;1.001516286
2;26;0.909807041
1;26;0.650745159
20;25;1.162020391
19;25;1.160565741
18;25;1.158950321
17;25;1.157145918
16;25;1.155117311
15;25;1.152819943
14;25;1.150196614
13;25;1.147172654
12;25;1.143648702
11;25;1.139489574
10;25;1.13450653
9;25;1.12842783
8;25;1.120847475
7;25;1.111130605
6;25;1.098225785
5;25;1.08025628
